feature,max_psi,mean_ks_stat,n_significant_windows,n_windows,drift_classification
f01_vol_7d_log,0.07081053912053095,0.03631650296256468,3,3,stable
f02_vol_30d_log,1.6252451464083624,0.1953022434857119,3,3,significant
f03_vol_ratio_7_30,3.172915855308796,0.19966504978876298,3,3,significant
f04_max_txn_log,0.31147365895199103,0.08071231602296687,3,3,significant
f05_vol_vs_revenue,0.09498213551622045,0.07045888058485356,3,3,stable
f06_txn_count_7d,0.4411407628873483,0.06362944352759291,3,3,significant
f07_txn_count_30d,4.578283580600075,0.2620613252779937,3,3,significant
f08_velocity_ratio,4.483420799700463,0.2604115542382195,3,3,significant
f09_recency_gap_days,0.04067201183436149,0.004005617108320814,0,3,stable
f10_account_age_days,0.06542752026233493,0.04282309134149769,3,3,stable
f11_cash_fraction_30d,0.02944391807312003,0.044370188474160764,3,3,stable
f12_structuring_count_30d,0.08982625587297792,0.05551240633774072,3,3,stable
f13_round_amount_count_30d,0.053270852283734176,0.01567440727394953,1,3,stable
f14_digital_channel_fraction,0.20359882194446402,0.050075689972940096,3,3,minor
f15_night_fraction_30d,0.0,0.0,0,3,stable
f16_intl_fraction_30d,0.02218628373520554,0.05471199063431983,3,3,stable
f17_distinct_jurisdictions_30d,0.15459445297462596,0.08113516522495541,3,3,minor
f18_very_high_jur_flag,,,3,3,categorical
f19_shell_counterparty_fraction,0.17901317309448084,0.014260932630370315,1,3,minor
f20_pep_flag,,,0,3,categorical
f21_adverse_media_flag,,,0,3,categorical
f22_high_risk_industry,,,0,3,categorical
f23_prior_alerts_90d,14.392091271506292,0.7331298579795525,3,3,significant
f24_account_jurisdiction_score,0.0003601616263723503,0.004894976296715166,0,3,stable
