metric,mean,median,min,max,std,range
auc_roc,0.9797403524896776,0.9800994186424746,0.9776654295391239,0.9814562092874343,0.00156826850413936,0.0037907797483103245
auc_pr,0.779300575557364,0.7737200655378433,0.7588285587480772,0.8053531023861716,0.019399138455813217,0.04652454363809444
cls_f1,0.8034379035125978,0.8042142230026338,0.7971563981042654,0.8089430894308943,0.004843106927738606,0.011786691326628906
cls_precision,0.6796572865668243,0.6750184229918939,0.6632492113564669,0.7007042253521126,0.015638815168326502,0.03745501399564577
cls_recall,0.983371413041444,0.99457111834962,0.9567307692307693,0.998812351543943,0.018917186925079377,0.042081582313173715
cls_fpr,0.04952045603789088,0.05259391771019678,0.04304887313243859,0.052918577271037305,0.004578019217537801,0.009869704138598716
cls_fnr,0.016628586958555933,0.0054288816503800215,0.0011876484560570072,0.04326923076923077,0.018917186925079398,0.042081582313173764
cls_threshold,0.17927837044718875,0.2288605737197792,0.055552903121819056,0.25342163449996796,0.08805984660189105,0.19786873137814892
recall_at_10pct,0.7230898856519277,0.7274701411509229,0.6995192307692307,0.7422802850356295,0.017729766292327583,0.04276105426639876
recall_at_20pct,1.0,1.0,1.0,1.0,0.0,0.0
recall_at_30pct,1.0,1.0,1.0,1.0,0.0,0.0
recall_at_50pct,1.0,1.0,1.0,1.0,0.0,0.0
precision_at_10pct,0.695665198657545,0.7006726457399103,0.6666666666666666,0.719656283566058,0.021920778111160253,0.05298961689939141
precision_at_20pct,0.481128329015381,0.4765177548682703,0.4722378014582165,0.49462943071965626,0.009705301325218976,0.022391629261439783
test_sar_rate,0.09625397156218936,0.09530355097365406,0.09448995623386826,0.09896840747904578,0.001947922972500347,0.0044784512451775255
