account_id,account_type,risk_category,jurisdiction,onboard_date,declared_annual_revenue,expected_monthly_volume,has_pep_link,has_adverse_media,is_high_risk_industry,assigned_typology
ACC000000,shell,high_risk,medium,2020-12-27,1363651.78,136066.09,0,0,0,
ACC000001,cash_intensive,active_ml,medium,2013-11-16,135824.12,12821.29,0,0,1,professional_ml
ACC000002,retail,low_risk,medium,2013-06-24,39364.78,2693.46,0,0,0,
ACC000003,retail,medium_risk,low,2015-11-18,3552.9,325.18,0,0,0,
ACC000004,corporate,medium_risk,low,2013-05-04,6084465.1,254981.85,0,0,0,
ACC000005,retail,low_risk,medium,2018-04-15,23105.14,1292.14,0,0,0,
ACC000006,retail,low_risk,low,2018-01-31,5337.32,539.02,0,0,1,
ACC000007,corporate,high_risk,low,2019-02-18,1737306.93,202126.83,1,0,0,
ACC000008,corporate,low_risk,low,2020-07-27,4052535.77,458263.77,0,0,0,
ACC000009,sme,medium_risk,medium,2018-08-27,401173.67,33386.96,0,0,1,
ACC000010,retail,medium_risk,high,2021-02-20,19026.28,2123.03,0,0,0,
ACC000011,retail,active_ml,high,2015-02-15,7284.94,463.08,0,0,0,structuring
ACC000012,retail,medium_risk,low,2022-11-22,24750.07,2212.92,0,0,0,
ACC000013,retail,low_risk,low,2022-11-10,19408.89,1997.88,0,0,0,
ACC000014,shell,active_ml,high,2016-01-24,724762.66,54251.19,0,0,0,cash_intensive
ACC000015,retail,medium_risk,low,2020-12-30,8717.59,966.26,0,0,0,
ACC000016,retail,low_risk,low,2015-02-14,9539.0,622.72,0,0,0,
ACC000017,retail,low_risk,low,2013-01-05,15546.11,1437.58,0,0,0,
ACC000018,retail,low_risk,low,2016-08-27,3254.68,201.26,0,0,0,
ACC000019,sme,medium_risk,high,2019-06-06,143581.83,14402.61,0,0,0,
ACC000020,sme,medium_risk,low,2022-08-20,400526.36,40520.87,0,0,0,
ACC000021,retail,active_ml,medium,2019-03-26,29930.71,2954.73,0,0,0,structuring
ACC000022,retail,medium_risk,medium,2019-03-27,40132.41,3833.8,0,0,0,
ACC000023,corporate,high_risk,medium,2015-06-19,3822274.28,216743.33,0,0,0,
ACC000024,cash_intensive,high_risk,high,2022-02-04,313230.54,30178.81,0,0,1,
ACC000025,professional,high_risk,high,2015-10-25,319050.09,22568.77,0,0,0,
ACC000026,retail,low_risk,low,2019-02-10,8725.44,795.53,0,0,0,
ACC000027,retail,low_risk,low,2014-08-18,19420.75,1205.32,0,0,0,
ACC000028,retail,medium_risk,high,2014-05-19,11920.92,628.14,0,0,0,
ACC000029,retail,low_risk,low,2021-12-21,18005.72,1337.21,0,0,0,
ACC000030,retail,low_risk,low,2021-01-02,2961.2,212.99,0,0,0,
ACC000031,retail,low_risk,low,2013-11-20,20371.14,2445.64,0,0,0,
ACC000032,retail,low_risk,low,2016-03-07,8917.5,388.6,0,0,0,
ACC000033,sme,high_risk,low,2017-06-11,102563.91,4680.61,0,0,0,
ACC000034,sme,medium_risk,low,2013-02-25,879973.12,60909.8,0,0,0,
ACC000035,retail,high_risk,very_high,2020-07-02,8141.87,728.77,0,0,0,
ACC000036,retail,medium_risk,medium,2022-12-02,9146.32,538.1,0,0,0,
ACC000037,retail,low_risk,low,2014-02-15,2072.98,148.22,0,0,0,
ACC000038,shell,high_risk,high,2022-03-10,34374.94,3156.26,0,0,0,
ACC000039,sme,low_risk,low,2019-05-15,141227.7,11770.67,0,0,0,
