alert_id,account_id,triggered_date,rule_id,rule_name,severity,status,true_sar,triggered_by_typology_txn,f01_vol_7d_log,f02_vol_30d_log,f03_vol_ratio_7_30,f04_max_txn_log,f05_vol_vs_revenue,f06_txn_count_7d,f07_txn_count_30d,f08_velocity_ratio,f09_recency_gap_days,f10_account_age_days,f11_cash_fraction_30d,f12_structuring_count_30d,f13_round_amount_count_30d,f14_digital_channel_fraction,f15_night_fraction_30d,f16_intl_fraction_30d,f17_distinct_jurisdictions_30d,f18_very_high_jur_flag,f19_shell_counterparty_fraction,f20_pep_flag,f21_adverse_media_flag,f22_high_risk_industry,f23_prior_alerts_90d,f24_account_jurisdiction_score
ALT6a8e36f9c5af,ACC000001,2023-01-01,R07,Rapid Fund Movement,high,open,0,0,6.926537778281504,6.926537778281504,4.285714285714286,6.5563947598671195,0.07939606701041782,2.0,2.0,4.285714285714286,3333.0,3333.0,0.0,0.0,0.0,1.0,0.0,0.3096683563204841,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.33
ALT6082ea7095e3,ACC000003,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,7.824070010568297,7.824070010568297,4.2857142857142865,6.919664086806273,7.685158988867705,5.0,5.0,4.2857142857142865,2601.0,2601.0,0.1327939305178747,0.0,0.0,1.0,0.0,0.1698438612918457,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT66de429f2d94,ACC000005,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,9.586920977118606,9.586920977118606,4.285714285714286,9.34613881789236,11.277361586205828,4.0,4.0,4.285714285714286,1722.0,1722.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
ALT30cf2d663227,ACC000006,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,7.935465732393685,7.935465732393685,4.285714285714286,7.524771673648664,5.182850358057215,6.0,6.0,4.285714285714286,1796.0,1796.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.046630584967390455,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALTdbfb35512fbf,ACC000007,2023-01-01,R09,PEP / Adverse Media High-Value Transaction,critical,open,0,0,8.587454058656682,8.587454058656682,4.285714285714286,8.187880464233317,0.02653254889516647,3.0,3.0,4.285714285714286,1413.0,1413.0,0.25769633820255305,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ALT47370d59a7fe,ACC000011,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,6.933773841380691,6.933773841380691,4.285714285714286,6.029771381262568,2.2142178457286,3.0,3.0,4.285714285714286,2877.0,2877.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6486404774908324,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.67
ALTec75360e7e46,ACC000015,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,9.366902997864411,9.366902997864411,4.285714285714286,9.321861174046669,12.10216711858092,3.0,3.0,4.285714285714286,732.0,732.0,0.0,0.0,0.0,1.0,0.0,0.04136793388655908,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTb5e34b7bfa6b,ACC000018,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,7.000234181774401,7.000234181774401,4.285714285714286,6.575745072680814,5.445145582828183,3.0,3.0,4.285714285714286,2318.0,2318.0,0.0,0.0,0.0,1.0,0.0,0.6537882451705919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT9add567d44e4,ACC000019,2023-01-01,R07,Rapid Fund Movement,high,open,0,0,8.523151405950358,8.523151405950358,4.285714285714285,8.0495260305013,0.34916449171365466,3.0,3.0,4.285714285714286,1305.0,1305.0,0.0,0.0,0.0,1.0,0.0,0.1992729991568699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
ALT7a870f26add9,ACC000021,2023-01-01,R01,Cash Structuring,critical,open,1,1,10.962318797761924,10.962318797761924,4.285714285714286,9.190364169616723,19.514131578858304,8.0,8.0,4.285714285714286,1377.0,1377.0,0.8438609486569224,5.0,0.0,0.25,0.0,0.008937201293328239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
ALT2a749e9e95d0,ACC000021,2023-01-01,R02,Large Cash Transaction,high,open,1,1,10.962318797761924,10.962318797761924,4.285714285714286,9.190364169616723,19.514131578858304,8.0,8.0,4.285714285714286,1377.0,1377.0,0.8438609486569224,5.0,0.0,0.25,0.0,0.008937201293328239,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33
ALTc0e974d56fc1,ACC000024,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,8.597646276411943,8.597646276411943,4.285714285714286,7.804528782829866,0.17952629676252974,5.0,5.0,4.2857142857142865,331.0,331.0,0.0,0.0,0.0,0.8,0.0,0.4523310735360075,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67
ALTae79e12890d1,ACC000025,2023-01-01,R07,Rapid Fund Movement,high,open,0,0,7.8461479534841,7.8461479534841,4.285714285714286,7.558829683120175,0.11320377672332164,3.0,3.0,4.285714285714286,2625.0,2625.0,0.0,0.0,0.0,1.0,0.0,0.750175155683068,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
ALTc7600d0ce9b8,ACC000027,2023-01-01,R07,Rapid Fund Movement,high,open,0,0,10.509438520843641,10.509438520843641,4.285714285714286,10.391529999578246,30.414238542461753,4.0,4.0,4.285714285714286,3058.0,3058.0,0.0,0.0,0.0,1.0,0.0,0.8887743191351402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT12349752aaf3,ACC000027,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,10.509438520843641,10.509438520843641,4.285714285714286,10.391529999578246,30.414238542461753,4.0,4.0,4.285714285714286,3058.0,3058.0,0.0,0.0,0.0,1.0,0.0,0.8887743191351402,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALT0d4cbc39593d,ACC000031,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,8.536011020232046,8.536011020232046,4.285714285714286,7.734064408930856,2.082882190346903,4.0,4.0,4.285714285714286,3329.0,3329.0,0.013869312404053414,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTadbd6a1dc8e2,ACC000033,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,9.135226663469933,9.135226663469933,4.285714285714286,8.226477187913206,1.9816605100617226,6.0,6.0,4.285714285714286,2030.0,2030.0,0.03986467400796517,0.0,0.0,1.0,0.0,0.12135783116163437,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT6f495fb780df,ACC000038,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,8.496992524912962,8.496992524912962,4.2857142857142865,8.002145333217026,1.552156666434324,4.0,4.0,4.285714285714286,297.0,297.0,0.0,0.0,0.0,0.75,0.0,0.6095843854166454,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.67
ALTc4aa0d737d50,ACC000042,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,8.677887557409898,8.677887557409898,4.285714285714286,7.851560005456332,4.452033913729296,5.0,5.0,4.2857142857142865,2603.0,2603.0,0.0,0.0,0.0,0.8,0.0,0.014490778672817058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT12a8d65d4c60,ACC000043,2023-01-01,R08,Multiple Counterparty Layering,medium,open,0,0,8.152958314488403,8.152958314488403,4.285714285714286,6.873163834212518,5.335217932369525,5.0,5.0,4.2857142857142865,703.0,703.0,0.42837725764835977,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
