txn_id,account_id,txn_date,txn_datetime,txn_type,channel,amount_eur,is_typology,typology_type,is_international,destination_jurisdiction,counterparty_id,counterparty_jurisdiction,counterparty_is_shell,counterparty_is_crypto
TXNec305820058a,ACC000000,2023-01-01,2023-01-01T08:26:00,card_payment,atm,1933.18,0,,0,,,,,
TXN7fa0ff40669b,ACC000000,2023-01-01,2023-01-01T17:22:00,international_wire,online,549.07,0,,1,very_high,CP34898e8056a2,very_high,0,0
TXNb6aaca3b03ff,ACC000000,2023-01-01,2023-01-01T12:13:00,card_payment,mobile,384.73,0,,0,,,,,
TXN978f0f384668,ACC000000,2023-01-01,2023-01-01T14:44:00,domestic_wire,mobile,228.54,0,,0,medium,CP06e906e7e127,medium,0,0
TXN8fb59aa87d85,ACC000001,2023-01-01,2023-01-01T12:08:00,international_wire,online,315.23,0,,1,very_high,CPa6f0b4ac0c3f,very_high,0,0
TXN117867a7f90d,ACC000001,2023-01-01,2023-01-01T17:21:00,card_payment,online,702.73,0,,0,,,,,
TXNc8fea331f313,ACC000002,2023-01-01,2023-01-01T20:46:00,card_payment,online,1377.44,0,,0,,,,,
TXNfb0045c625ae,ACC000002,2023-01-01,2023-01-01T13:47:00,domestic_wire,atm,1878.2,0,,0,low,CP4788484b1aac,low,0,0
TXNcafb1f6b7828,ACC000002,2023-01-01,2023-01-01T19:08:00,card_payment,online,8474.69,0,,0,,,,,
TXN84e0bde1dafa,ACC000003,2023-01-01,2023-01-01T21:51:00,domestic_wire,online,85.81,0,,0,low,CPef866e8ce90d,low,0,0
TXN34ecc599aacc,ACC000003,2023-01-01,2023-01-01T19:06:00,cash_deposit,mobile,331.86,0,,0,,,,,
TXN54d5575510aa,ACC000003,2023-01-01,2023-01-01T09:33:00,internal_transfer,online,645.96,0,,0,,,,,
TXNe6f4b5855c4a,ACC000003,2023-01-01,2023-01-01T12:38:00,international_wire,online,424.45,0,,1,high,CP166d129c347e,high,0,0
TXN023f8be1cbb5,ACC000003,2023-01-01,2023-01-01T21:17:00,domestic_wire,online,1010.98,0,,0,medium,CP2210587c3f87,medium,0,0
TXNe8794da55ac1,ACC000004,2023-01-01,2023-01-01T10:05:00,card_payment,online,1631.16,0,,0,,,,,
TXNc8fd2d86a35a,ACC000004,2023-01-01,2023-01-01T17:21:00,domestic_wire,mobile,381.65,0,,0,medium,CPce8e71e5d501,medium,0,0
TXN96dea5ceaed5,ACC000004,2023-01-01,2023-01-01T18:47:00,internal_transfer,branch,272.36,0,,0,,,,,
TXNb86964dee825,ACC000004,2023-01-01,2023-01-01T21:35:00,international_wire,online,553.67,0,,1,low,CP759f3c600b85,low,0,0
TXNda17a86ff4a0,ACC000004,2023-01-01,2023-01-01T12:55:00,cash_deposit,mobile,140.06,0,,0,,,,,
TXNaad0935eee88,ACC000005,2023-01-01,2023-01-01T10:49:00,internal_transfer,online,154.75,0,,0,,,,,
